hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,country,market_segment,adr,is_canceled
Resort Hotel,45,2,5,2,0,IND,Online TA,5200,0
City Hotel,120,1,3,2,1,USA,Online TA,6800,1
Resort Hotel,15,1,2,2,0,IND,Direct,4500,0
City Hotel,200,2,4,2,0,UK,Corporate,7200,1
City Hotel,90,1,2,1,0,CAN,Online TA,6000,0
Resort Hotel,60,2,6,2,2,AUS,Direct,5500,0
City Hotel,180,1,4,2,1,IND,Online TA,8500,1
Resort Hotel,30,2,3,2,0,USA,Offline TA,4800,0
City Hotel,250,0,2,1,0,UK,Corporate,9200,1
Resort Hotel,75,2,5,2,1,IND,Online TA,5700,0
City Hotel,140,1,3,2,0,CAN,Online TA,7000,1
Resort Hotel,20,1,2,2,0,AUS,Direct,4300,0
City Hotel,110,2,4,2,1,IND,Corporate,7600,1
Resort Hotel,50,2,5,2,0,USA,Offline TA,5100,0
City Hotel,170,1,3,1,0,UK,Online TA,8100,1
Resort Hotel,40,2,4,2,1,IND,Direct,5400,0
City Hotel,210,0,2,2,0,CAN,Corporate,8800,1
Resort Hotel,25,1,2,2,0,AUS,Online TA,4600,0
City Hotel,130,2,3,2,1,IND,Online TA,7300,1
Resort Hotel,55,2,5,2,0,USA,Direct,5000,0
