Property_ID,Area_sqft,Bedrooms,Bathrooms,Price,Location
1,1460.0,4.0,1,23308027,Hyderabad
2,4372.0,3.0,3,15782774,Chennai
3,3692.0,3.0,3,6341712,Mumbai
4,1066.0,5.0,3,1901099,Mumbai
5,4044.0,3.0,3,5582940,Bangalore
6,3771.0,2.0,4,9410541,Chennai
7,3519.0,5.0,3,19474061,Chennai
8,730.0,3.0,2,3487214,Chennai
9,2285.0,3.0,4,9208098,Vijayawada
10,1369.0,4.0,4,24602222,Hyderabad
11,2991.0,3.0,3,10165394,Hyderabad
12,3033.0,1.0,1,22360887,Bangalore
13,1784.0,5.0,3,22438227,Chennai
14,3985.0,1.0,1,12616141,Chennai
15,4717.0,5.0,3,15392676,Mumbai
16,3504.0,4.0,3,22041117,Vijayawada
17,1074.0,3.0,1,23075346,Vijayawada
18,1682.0,3.0,1,22795678,Bangalore
19,3158.0,3.0,1,4403107,Hyderabad
20,2647.0,5.0,1,8517359,Chennai
21,3347.0,3.0,2,5784933,Bangalore
22,1575.0,1.0,1,7778262,Vijayawada
23,2406.0,3.0,3,13542040,Vijayawada
24,789.0,4.0,3,3936126,Vijayawada
25,3334.0,1.0,2,12295214,Chennai
26,3605.0,3.0,1,17108476,Chennai
27,2499.0,3.0,3,2663842,Chennai
28,1867.0,2.0,2,6931242,Mumbai
29,2128.0,5.0,3,6141154,Hyderabad
30,3802.0,1.0,2,4396283,Vijayawada
31,4156.0,2.0,2,15362729,Vijayawada
32,4490.0,4.0,4,17898255,Mumbai
33,1246.0,5.0,4,5773487,Vijayawada
34,3488.0,1.0,1,7305344,Vijayawada
35,3035.0,3.0,4,18401060,Chennai
36,1200.0,,2,8158187,Chennai
37,2963.0,3.0,3,3931275,Hyderabad
38,2661.0,5.0,3,8394604,Vijayawada
39,841.0,3.0,1,15283703,Bangalore
40,2641.0,4.0,4,22214296,Vijayawada
41,3424.0,3.0,1,24554175,Vijayawada
42,3212.0,4.0,2,17835839,Hyderabad
43,1963.0,5.0,4,21198796,Bangalore
44,2078.0,5.0,1,9244996,Vijayawada
45,3156.0,1.0,3,24924887,Bangalore
46,1375.0,,3,18227395,Chennai
47,4614.0,4.0,1,16227316,Chennai
48,634.0,2.0,1,8700622,Bangalore
49,3752.0,2.0,1,6150699,Vijayawada
50,2555.0,2.0,2,18152594,Bangalore
51,2185.0,3.0,2,7579547,Bangalore
52,4543.0,2.0,3,16532754,Chennai
53,3673.0,4.0,2,12378996,Bangalore
54,1621.0,3.0,2,17439965,Mumbai
55,4061.0,5.0,4,5676116,Mumbai
56,3213.0,1.0,2,14081960,Chennai
57,4443.0,2.0,4,4524320,Vijayawada
58,2100.0,5.0,2,17557419,Vijayawada
59,761.0,4.0,3,12795417,Chennai
60,4897.0,1.0,1,3796397,Vijayawada
61,2581.0,5.0,3,19825056,Hyderabad
62,1595.0,1.0,2,11022517,Mumbai
63,3942.0,2.0,1,2500778,Hyderabad
64,4398.0,4.0,1,17235042,Hyderabad
65,1875.0,1.0,1,17233161,Hyderabad
66,1616.0,5.0,4,12760933,Chennai
67,937.0,2.0,3,4498277,Hyderabad
68,1478.0,2.0,4,8688884,Bangalore
69,1676.0,,1,24015969,Vijayawada
70,4593.0,5.0,3,8139070,Chennai
71,979.0,1.0,3,20388793,Bangalore
72,1092.0,3.0,2,4396695,Bangalore
73,2662.0,,4,23691967,Mumbai
74,4484.0,1.0,4,8369001,Mumbai
75,664.0,5.0,2,22333366,Bangalore
76,3168.0,1.0,4,7459417,Mumbai
77,2627.0,5.0,1,20240037,Vijayawada
78,3295.0,4.0,1,20717558,Vijayawada
79,2095.0,5.0,4,24053200,Mumbai
80,,5.0,2,7213949,Hyderabad
81,4161.0,5.0,3,21224708,Bangalore
82,2878.0,3.0,4,13715350,Vijayawada
83,3699.0,5.0,3,3786113,Mumbai
84,800.0,2.0,2,17446856,Mumbai
85,3704.0,2.0,3,14428171,Vijayawada
86,3054.0,1.0,2,14510965,Vijayawada
87,4245.0,3.0,2,5107838,Hyderabad
88,1404.0,1.0,1,13118694,Mumbai
89,3331.0,,1,2058867,Mumbai
90,3373.0,2.0,2,23616650,Chennai
91,2170.0,4.0,4,4269067,Hyderabad
92,3290.0,,1,18068366,Vijayawada
93,4440.0,2.0,2,8365521,Vijayawada
94,1628.0,1.0,3,23919218,Bangalore
95,1102.0,1.0,3,18317967,Vijayawada
96,1470.0,5.0,4,19526463,Mumbai
97,806.0,5.0,3,23628846,Vijayawada
98,2084.0,4.0,3,4679249,Mumbai
99,,3.0,2,2488144,Mumbai
100,3390.0,1.0,3,8211971,Hyderabad
101,1163.0,5.0,3,10928143,Vijayawada
102,4791.0,1.0,3,7184054,Hyderabad
103,2357.0,5.0,3,20561518,Mumbai
104,2278.0,2.0,2,17635277,Vijayawada
105,3842.0,1.0,3,19074850,Vijayawada
106,1659.0,2.0,4,18648767,Hyderabad
107,2322.0,1.0,1,5669895,Hyderabad
108,3914.0,3.0,4,13124533,Mumbai
109,3757.0,4.0,1,10979821,Mumbai
110,3225.0,2.0,4,11804562,Vijayawada
111,3329.0,5.0,1,7708623,Vijayawada
112,2197.0,3.0,1,5507374,Chennai
113,3660.0,1.0,1,1655647,Chennai
114,3293.0,2.0,1,13468953,Bangalore
115,4227.0,1.0,2,24254880,Mumbai
116,1963.0,1.0,4,13542059,Bangalore
117,2581.0,1.0,1,13961289,Bangalore
